1.000000000000000000e+00 4.774332096474955165e+02 4.355952380952381304e+02
2.000000000000000000e+00 4.177745825602970058e+02 3.119094001236858276e+02
3.000000000000000000e+00 6.310405071119357672e+02 2.931722325293753784e+02
4.000000000000000000e+00 7.554369202226346260e+02 2.010658627087199193e+02
5.000000000000000000e+00 8.523855905998764229e+02 2.473559059987632054e+02
6.000000000000000000e+00 9.065705009276439341e+02 3.024882498453927155e+02
7.000000000000000000e+00 9.704134199134200571e+02 4.437795299938157427e+02
8.000000000000000000e+00 9.784134199134200571e+02 5.543336425479283207e+02
9.000000000000000000e+00 8.187535559678417485e+02 5.684128014842300445e+02
1.000000000000000000e+01 7.448840445269017891e+02 5.506230674087817079e+02
1.100000000000000000e+01 7.134363017934449545e+02 5.996236858379716068e+02
1.200000000000000000e+01 7.316997526283241768e+02 6.750720470006183405e+02
1.300000000000000000e+01 7.982532467532469127e+02 7.191252319109461268e+02
1.400000000000000000e+01 8.333589981447125865e+02 6.881512059369201779e+02
1.500000000000000000e+01 6.358828076685222186e+02 5.763602350030921571e+02
1.600000000000000000e+01 3.858531230674089443e+02 6.035185528756957183e+02
1.700000000000000000e+01 4.441697588126160667e+02 7.381518243661100769e+02
