1.000000000000000000e+00 4.113534322820038938e+02 3.248568336425479401e+02
2.000000000000000000e+00 4.848543599257886285e+02 4.464901051329622987e+02
3.000000000000000000e+00 6.315142238713669940e+02 2.976459492888064915e+02
4.000000000000000000e+00 7.784635126777984624e+02 2.146713048855906436e+02
5.000000000000000000e+00 8.516224489795920363e+02 2.565401978973408177e+02
6.000000000000000000e+00 9.006756338899197090e+02 3.074882498453927155e+02
7.000000000000000000e+00 9.823082869511442823e+02 4.559112554112554108e+02
8.000000000000000000e+00 9.902031539888685074e+02 5.553862090290660944e+02
9.000000000000000000e+00 8.199904143475573619e+02 5.773602350030921571e+02
1.000000000000000000e+01 7.566737786023502395e+02 5.756496598639455442e+02
1.100000000000000000e+01 8.331747062461349742e+02 6.795457637600494536e+02
1.200000000000000000e+01 7.378840445269017891e+02 6.215977118119974421e+02
1.300000000000000000e+01 7.928320964749536870e+02 7.233620902906616266e+02
1.400000000000000000e+01 7.307523191094621779e+02 6.780194805194804530e+02
1.500000000000000000e+01 6.337510822510823800e+02 5.803076685219541559e+02
1.600000000000000000e+01 3.974585652442796686e+02 5.912551020408163822e+02
1.700000000000000000e+01 4.412748917748919553e+02 7.379149659863944635e+02
